0 [main] INFO WebdriverTest  - fin del setup de los logs
4 [main] INFO WebdriverTest  - Inicio de los casos de prueba
14095 [Forwarding newSession on session null to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
14108 [Forwarding newSession on session null to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
14111 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
14146 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
14150 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
14151 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
14154 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:60361<->127.0.0.1:7055
14154 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session HTTP/1.1
14154 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
14155 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
14158 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> POST /hub/session HTTP/1.1
14158 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
14159 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Content-Length: 105
14159 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Host: 127.0.0.1:7055
14159 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
14159 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.3.5 (java 1.5)
14159 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
14160 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "POST /hub/session HTTP/1.1[\r][\n]"
14160 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
14161 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Content-Length: 105[\r][\n]"
14161 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Host: 127.0.0.1:7055[\r][\n]"
14161 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
14161 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.3.5 (java 1.5)[\r][\n]"
14163 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
14165 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
14165 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "{"desiredCapabilities":{"browserName":"firefox","version":"","platform":"ANY"},"requiredCapabilities":{}}"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "content-type: application/json; charset=UTF-8[\r][\n]"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "connection: close[\r][\n]"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "content-length: 423[\r][\n]"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "server: httpd.js[\r][\n]"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "date: Tue, 03 Feb 2015 20:37:24 GMT[\r][\n]"
14379 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[\r][\n]"
14384 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << HTTP/1.1 200 OK
14384 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << content-type: application/json; charset=UTF-8
14384 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << connection: close
14384 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << content-length: 423
14384 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << server: httpd.js
14384 [Forwarding newSession on session null to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << date: Tue, 03 Feb 2015 20:37:24 GMT
14396 [Forwarding newSession on session null to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "{"name":"newSession","sessionId":"f88d9dba-800a-4b45-a0fb-e6c8af7c293a","status":0,"value":{"cssSelectorsEnabled":true,"browserName":"firefox","handlesAlerts":true,"javascriptEnabled":true,"nativeEvents":false,"platform":"WINDOWS","rotatable":false,"takesScreenshot":true,"version":"35.0.1","webStorageEnabled":true,"applicationCacheEnabled":true,"databaseEnabled":true,"locationContextEnabled":true,"acceptSslCerts":true}}"
14396 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: Shutdown connection
14397 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection discarded
14397 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: Close connection
14397 [Forwarding newSession on session null to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
14406 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
14406 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
14406 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
14407 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 1][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
14407 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
14407 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:60363<->127.0.0.1:7055
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/timeouts HTTP/1.1
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/timeouts HTTP/1.1
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> Content-Type: application/json; charset=utf-8
14408 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> Content-Length: 30
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> Host: 127.0.0.1:7055
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> Connection: Keep-Alive
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> User-Agent: Apache-HttpClient/4.3.5 (java 1.5)
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 >> Accept-Encoding: gzip,deflate
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/timeouts HTTP/1.1[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "Content-Length: 30[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "Host: 127.0.0.1:7055[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.3.5 (java 1.5)[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "Accept-Encoding: gzip,deflate[\r][\n]"
14409 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "[\r][\n]"
14410 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 >> "{"type":"implicit","ms":30000}"
14423 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "HTTP/1.1 200 OK[\r][\n]"
14423 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "content-type: application/json; charset=UTF-8[\r][\n]"
14423 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "connection: close[\r][\n]"
14423 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "content-length: 94[\r][\n]"
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "server: httpd.js[\r][\n]"
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "date: Tue, 03 Feb 2015 20:37:24 GMT[\r][\n]"
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "[\r][\n]"
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 << HTTP/1.1 200 OK
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 << content-type: application/json; charset=UTF-8
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 << connection: close
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 << content-length: 94
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 << server: httpd.js
14424 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-1 << date: Tue, 03 Feb 2015 20:37:24 GMT
14428 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-1 << "{"name":"setTimeout","sessionId":"f88d9dba-800a-4b45-a0fb-e6c8af7c293a","status":0,"value":""}"
14428 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-1: Shutdown connection
14428 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection discarded
14428 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-1: Close connection
